sample_accession	run_accession	library_layout	reference	tech	UMI	Workflow
SRX11077088	SRR14742510	PAIRED	hs111	10xv2	True	standard
SRX11077088	SRR14742510	PAIRED	hs111	10xv2	True	nac
ERS2852889	ERR2854362	PAIRED	hs111	10xv2	True	standard
SRS6517606	SRR11587802	PAIRED	hs111	10xv3	True	standard
SRS866907	SRR1853183	PAIRED	mm111	DROPSEQ	True	standard
SRS1397477	SRR3375552	SINGLE	mm111	SMARTSEQ2	False	standard
SRS4385501	SRR8598551	PAIRED	mm111	SMARTSEQ2	False	standard
SRS3732524	SRR7776383	SINGLE	hs111	SCRUBSEQ	False	standard
SRS4385776	SRR8598827	PAIRED	mm111	SMARTSEQ2	False	standard
SRS5421625	SRR10163223	PAIRED	hs111	DROPSEQ	True	standard
SRS4715844	SRR9004349	PAIRED	hs111	10xv3	True	standard
SRS3698230	SRR7733541	PAIRED	mf111	10xv2	True	standard
SRS3698230	SRR7733541	PAIRED	hs111	10xv2	True	standard
SRS7483330	SRR12781351	PAIRED	gg111	10xv2	True	standard
SRS6393469	SRR11442122	PAIRED	hs111	10xv2	True	standard
SRS6393469	SRR11442123	PAIRED	hs111	10xv2	True	standard
SRS6393469	SRR11442124	PAIRED	hs111	10xv2	True	standard
SRS6393469	SRR11442125	PAIRED	hs111	10xv2	True	standard
SRS6393469	SRR11442126	PAIRED	hs111	10xv2	True	standard
SRS6393469	SRR11442127	PAIRED	hs111	10xv2	True	standard
SRS6393469	SRR11442129	PAIRED	hs111	10xv2	True	standard
SRS6393469	SRR11442130	PAIRED	hs111	10xv2	True	standard
SRS6393469	SRR11442131	PAIRED	hs111	10xv2	True	standard
SRS6393469	SRR11442132	PAIRED	hs111	10xv2	True	standard
SRS6393469	SRR11442133	PAIRED	hs111	10xv2	True	standard
SRS6393469	SRR11442134	PAIRED	hs111	10xv2	True	standard
SRS6393469	SRR11442135	PAIRED	hs111	10xv2	True	standard
SRS6393469	SRR11442136	PAIRED	hs111	10xv2	True	standard
SRS6393469	SRR11442137	PAIRED	hs111	10xv2	True	standard
SRS6393469	SRR11442138	PAIRED	hs111	10xv2	True	standard
SRS6393469	SRR11442140	PAIRED	hs111	10xv2	True	standard
SRS6393469	SRR11442141	PAIRED	hs111	10xv2	True	standard
SRS6393469	SRR11442143	PAIRED	hs111	10xv2	True	standard
SRS6393469	SRR11442144	PAIRED	hs111	10xv2	True	standard
SRS6393469	SRR11442145	PAIRED	hs111	10xv2	True	standard
SRS6393469	SRR11442142	PAIRED	hs111	10xv2	True	standard
SRS6393469	SRR11442236	PAIRED	hs111	10xv2	True	standard
SRS6393469	SRR11442237	PAIRED	hs111	10xv2	True	standard
SRS6393469	SRR11442238	PAIRED	hs111	10xv2	True	standard
SRS6393469	SRR11442239	PAIRED	hs111	10xv2	True	standard
SRS6393469	SRR11442240	PAIRED	hs111	10xv2	True	standard
SRS6393469	SRR11442241	PAIRED	hs111	10xv2	True	standard
SRS6393469	SRR11442242	PAIRED	hs111	10xv2	True	standard
SRS6393469	SRR11442243	PAIRED	hs111	10xv2	True	standard
SRS6393469	SRR11442245	PAIRED	hs111	10xv2	True	standard
SRS6393469	SRR11442246	PAIRED	hs111	10xv2	True	standard
SRS6393469	SRR11442247	PAIRED	hs111	10xv2	True	standard
SRS6393469	SRR11442248	PAIRED	hs111	10xv2	True	standard
SRS6393469	SRR11442249	PAIRED	hs111	10xv2	True	standard
SRS6393469	SRR11442250	PAIRED	hs111	10xv2	True	standard
SRS6393469	SRR11442251	PAIRED	hs111	10xv2	True	standard
SRS6393469	SRR11442252	PAIRED	hs111	10xv2	True	standard
SRS6393469	SRR11442253	PAIRED	hs111	10xv2	True	standard
SRS6393469	SRR11442254	PAIRED	hs111	10xv2	True	standard
SRX11077088	SRR14742510	PAIRED	hs111	10xv2	True	standard
SRX11077088	SRR14742510	PAIRED	hs111	10xv2	True	nac
ERS2852889	ERR2854362	PAIRED	hs111	10xv2	True	standard
SRS6517606	SRR11587802	PAIRED	hs111	10xv3	True	standard
SRS866907	SRR1853183	PAIRED	mm111	DROPSEQ	True	standard
SRS1397477	SRR3375552	SINGLE	mm111	SMARTSEQ2	standard
SRS4385501	SRR8598551	PAIRED	mm111	SMARTSEQ2	standard
